index,True,Predicted
2019-04-23,False,0.6157639
2019-04-24,False,0.243159
2019-04-25,True,0.32276046
2019-04-26,True,0.21713312
2019-04-29,True,0.53513783
2019-04-30,False,0.94101167
2019-05-01,False,0.35511816
2019-05-02,True,0.91908014
2019-05-03,False,0.4239834
2019-05-06,False,0.12697043
2019-05-07,False,0.38645154
2019-05-08,False,0.12085526
2019-05-09,True,0.29094163
2019-05-10,False,0.47293755
2019-05-13,True,0.45119643
2019-05-14,True,0.43946463
2019-05-15,True,0.93934846
2019-05-16,False,0.11132265
2019-05-17,False,0.09565361
2019-05-20,True,0.9185075
2019-05-21,False,0.14260285
2019-05-22,False,0.085429706
2019-05-23,True,0.53359455
2019-05-24,False,0.9422422
2019-05-28,False,0.55398536
2019-05-29,True,0.83501005
2019-05-30,False,0.07669898
2019-05-31,False,0.6729702
2019-06-03,True,0.80954134
2019-06-04,True,0.9357775
2019-06-05,True,0.8235474
2019-06-06,True,0.5346123
2019-06-07,True,0.92431206
2019-06-10,False,0.9393442
2019-06-11,False,0.4232778
2019-06-12,True,0.48420504
2019-06-13,False,0.24417287
2019-06-14,True,0.8492533
2019-06-17,True,0.7449101
2019-06-18,True,0.8499754
2019-06-19,True,0.7688856
2019-06-20,False,0.25282642
2019-06-21,False,0.25478867
2019-06-24,False,0.6205795
2019-06-25,False,0.6551141
2019-06-26,True,0.92766947
2019-06-27,True,0.40644094
2019-06-28,True,0.77898127
2019-07-01,True,0.4077684
2019-07-02,True,0.927456
2019-07-03,False,0.2550698
2019-07-05,False,0.14608222
2019-07-08,True,0.13365217
2019-07-09,True,0.6257049
2019-07-10,True,0.93059516
2019-07-11,True,0.87763333
2019-07-12,True,0.8914129
2019-07-15,False,0.26363492
2019-07-16,False,0.20735791
2019-07-17,True,0.21380028
2019-07-18,False,0.5609185
2019-07-19,True,0.93294275
2019-07-22,True,0.6619523
2019-07-23,True,0.7185182
2019-07-24,False,0.29140905
2019-07-25,True,0.76148957
2019-07-26,False,0.17896222
2019-07-29,False,0.5635204
2019-07-30,False,0.900501
2019-07-31,False,0.69725055
2019-08-01,False,0.21906525
2019-08-02,False,0.4043812
2019-08-05,True,0.7949009
2019-08-06,True,0.082285844
2019-08-07,True,0.9203802
2019-08-08,False,0.50842077
2019-08-09,False,0.17963035
2019-08-12,True,0.49756256
2019-08-13,False,0.36695626
2019-08-14,True,0.9348224
2019-08-15,True,0.840011
2019-08-16,True,0.8003241
2019-08-19,False,0.26020083
2019-08-20,True,0.85886353
2019-08-21,False,0.70278937
2019-08-22,False,0.1452333
2019-08-23,True,0.87646115
2019-08-26,False,0.92240995
2019-08-27,True,0.35179773
2019-08-28,True,0.89727145
2019-08-29,True,0.8809059
2019-08-30,False,0.09820495
2019-09-03,True,0.9029547
2019-09-04,True,0.90447706
2019-09-05,True,0.9400961
2019-09-06,False,0.7993966
2019-09-09,True,0.47925866
2019-09-10,True,0.85255504
2019-09-11,True,0.5848425
2019-09-12,False,0.8708546
2019-09-13,False,0.15251783
2019-09-16,True,0.20713727
2019-09-17,True,0.322776
2019-09-18,True,0.7963811
2019-09-19,False,0.20930485
2019-09-20,False,0.21349575
2019-09-23,False,0.6007498
2019-09-24,True,0.20317098
2019-09-25,False,0.1940742
2019-09-26,False,0.59720886
2019-09-27,True,0.94245094
2019-09-30,False,0.49118474
2019-10-01,False,0.2019063
2019-10-02,True,0.46570736
2019-10-03,True,0.5093993
2019-10-04,False,0.62324893
2019-10-07,False,0.071252555
2019-10-08,True,0.9055446
2019-10-09,True,0.47475582
2019-10-10,True,0.8595292
2019-10-11,False,0.47569364
2019-10-14,True,0.4156296
2019-10-15,False,0.74985045
2019-10-16,True,0.4411019
2019-10-17,False,0.20868659
2019-10-18,True,0.68692243
2019-10-21,False,0.83444357
2019-10-22,True,0.34691522
2019-10-23,True,0.75549924
2019-10-24,True,0.4270496
2019-10-25,True,0.7497478
2019-10-28,False,0.35859418
2019-10-29,True,0.7478609
2019-10-30,False,0.48332122
2019-10-31,True,0.9303795
2019-11-01,True,0.4674302
2019-11-04,False,0.80090237
2019-11-05,True,0.37098047
2019-11-06,True,0.8079151
2019-11-07,True,0.2543606
2019-11-08,False,0.10038581
2019-11-11,True,0.6691257
2019-11-12,True,0.4950478
2019-11-13,True,0.3119215
2019-11-14,True,0.59614724
2019-11-15,True,0.5384353
2019-11-18,False,0.9457159
2019-11-19,False,0.21455996
2019-11-20,False,0.48432535
2019-11-21,True,0.59911835
2019-11-22,True,0.48312557
2019-11-25,True,0.23784842
2019-11-26,True,0.9100877
2019-11-27,False,0.6738989
2019-11-29,False,0.8048734
2019-12-02,False,0.48290342
2019-12-03,True,0.83564824
2019-12-04,True,0.86105627
2019-12-05,True,0.8238517
2019-12-06,False,0.42866334
2019-12-09,False,0.2734665
2019-12-10,True,0.78621256
2019-12-11,True,0.65762985
2019-12-12,True,0.5728329
2019-12-13,True,0.92809725
2019-12-16,True,0.84564465
2019-12-17,False,0.6273187
2019-12-18,True,0.40718642
2019-12-19,True,0.87729025
2019-12-20,True,0.921178
2019-12-23,False,0.39541808
2019-12-24,True,0.8556234
2019-12-26,True,0.5394305
2019-12-27,False,0.39202008
2019-12-30,True,0.48102105
2019-12-31,True,0.9268287
2020-01-02,False,0.4005735
2020-01-03,True,0.069223486
2020-01-06,False,0.40875655
2020-01-07,True,0.28298205
2020-01-08,True,0.62367237
2020-01-09,False,0.8909838
2020-01-10,True,0.86251324
2020-01-13,False,0.5627115
2020-01-14,True,0.6080904
2020-01-15,True,0.92555124
2020-01-16,True,0.8652109
2020-01-17,False,0.54508275
2020-01-21,True,0.4645146
2020-01-22,True,0.1893763
2020-01-23,False,0.7222912
2020-01-24,False,0.23848826
2020-01-27,True,0.75497115
2020-01-28,False,0.92493445
2020-01-29,True,0.3974521
2020-01-30,False,0.6472419
2020-01-31,True,0.78507257
2020-02-03,True,0.8086233
2020-02-04,True,0.9190307
2020-02-05,True,0.49437514
2020-02-06,False,0.12652484
2020-02-07,True,0.11782661
2020-02-10,True,0.92243785
2020-02-11,True,0.59913903
2020-02-12,False,0.105686806
2020-02-13,True,0.879471
2020-02-14,False,0.15346178
2020-02-18,True,0.436074
2020-02-19,False,0.18996117
2020-02-20,False,0.095048666
2020-02-21,False,0.21184823
2020-02-24,False,0.6332519
2020-02-25,False,0.83799833
2020-02-26,False,0.16498516
2020-02-27,False,0.13676918
2020-02-28,True,0.9253695
2020-03-02,False,0.89329535
2020-03-03,True,0.8117523
2020-03-04,False,0.14395465
2020-03-05,False,0.10846655
2020-03-06,False,0.109338135
2020-03-09,True,0.8122111
2020-03-10,False,0.09839102
2020-03-11,False,0.095297016
2020-03-12,True,0.80872715
2020-03-13,False,0.08284168
2020-03-16,True,0.83377475
2020-03-17,False,0.07973796
2020-03-18,True,0.67489374
2020-03-19,False,0.9393959
2020-03-20,False,0.073604815
2020-03-23,True,0.8269046
2020-03-24,True,0.9334389
2020-03-25,True,0.7602562
2020-03-26,False,0.0766831
2020-03-27,True,0.92374605
2020-03-30,False,0.5378945
2020-03-31,False,0.07417439
2020-04-01,True,0.37086424
2020-04-02,False,0.4024645
2020-04-03,True,0.8906445
2020-04-06,False,0.8880699
2020-04-07,True,0.63001746
2020-04-08,True,0.7004492
2020-04-09,False,0.6299104
2020-04-13,True,0.83833396
2020-04-14,False,0.06493086
2020-04-15,True,0.89619696
2020-04-16,True,0.84948504
2020-04-17,False,0.33838955
2020-04-20,False,0.07380826
2020-04-21,True,0.8483066
2020-04-22,False,0.6646552
2020-04-23,True,0.87316
2020-04-24,True,0.9273586
2020-04-27,False,0.8856285
2020-04-28,True,0.8560331
2020-04-29,False,0.13198379
2020-04-30,False,0.061267752
2020-05-01,True,0.53805333
2020-05-04,True,0.7697019
2020-05-05,False,0.8956962
2020-05-06,True,0.64059305
2020-05-07,True,0.75982255
2020-05-08,True,0.705108
2020-05-11,False,0.8306797
2020-05-12,False,0.4016192
2020-05-13,True,0.2502944
2020-05-14,True,0.09891974
2020-05-15,True,0.86948675
2020-05-18,False,0.7446882
2020-05-19,True,0.71704954
2020-05-20,False,0.21112819
2020-05-21,True,0.36847535
2020-05-22,True,0.88965416
2020-05-26,True,0.93812263
2020-05-27,False,0.8264444
2020-05-28,True,0.22266495
2020-05-29,True,0.4897899
2020-06-01,True,0.64571774
2020-06-02,True,0.93799245
2020-06-03,False,0.19172823
2020-06-04,True,0.88751113
2020-06-05,True,0.79218227
2020-06-08,False,0.105003916
2020-06-09,False,0.8081806
2020-06-10,False,0.057130218
2020-06-11,True,0.82868636
2020-06-12,True,0.05583112
2020-06-15,True,0.8985544
2020-06-16,False,0.7474334
2020-06-17,True,0.11697632
2020-06-18,False,0.9338967
2020-06-19,True,0.33677512
2020-06-22,True,0.93054086
2020-06-23,False,0.6123804
2020-06-24,True,0.49098286
2020-06-25,False,0.12303178
2020-06-26,True,0.66391057
2020-06-29,True,0.45922646
2020-06-30,True,0.77479553
2020-07-01,True,0.7939267
2020-07-02,True,0.81374204
2020-07-06,False,0.13656369
2020-07-07,True,0.67789984
2020-07-08,False,0.7063242
2020-07-09,True,0.4794254
2020-07-10,False,0.9257065
2020-07-13,True,0.2846716
2020-07-14,True,0.8529473
2020-07-15,False,0.5302232
2020-07-16,True,0.69087315
2020-07-17,True,0.5227051
2020-07-20,True,0.7134265
2020-07-21,True,0.7127049
2020-07-22,False,0.39401716
2020-07-23,False,0.5012323
2020-07-24,True,0.65076053
2020-07-27,False,0.276647
2020-07-28,True,0.7079168
2020-07-29,False,0.4953794
2020-07-30,True,0.9067355
2020-07-31,True,0.82632184
2020-08-03,True,0.4774969
2020-08-04,True,0.79921097
2020-08-05,True,0.584008
2020-08-06,True,0.56117064
2020-08-07,True,0.8630008
2020-08-10,False,0.68876374
2020-08-11,True,0.92402667
2020-08-12,False,0.6146305
2020-08-13,False,0.6210504
2020-08-14,True,0.6948093
2020-08-17,True,0.90117013
2020-08-18,False,0.5704221
2020-08-19,True,0.16595456
2020-08-20,True,0.55600446
2020-08-21,True,0.86855406
2020-08-24,True,0.6827282
2020-08-25,True,0.7948179
2020-08-26,True,0.8274035
